ID,Year,State,Bill,Legislature,Sponsor,Summary,Status,Law,Assessment,Theme,Thematic_analysis,Governor,Governor_party,Governor_gender,Population_2017,Legislative_majority,
96,2015,NM,HB 522 ,H,,Removes the religious exemption for school vaccinations. ,Did not pass ,No,Pro,Limits religious exemption for vaccine,Removing exemptions or adding requirements,Susana Martinez,R,F,2088070,S,
97,2015,NY,AB 7016 ,H,,Requires parents or guardians seeking a religious exemption to file an affidavit with the school signed by a physician who provided counseling about the risks of refusing to vaccinate. ,Did not pass ,No,Pro,Education by medical provider before religious exemption,Removing exemptions or adding requirements,Andrew Cuomo,D,M,19849399,S,
98,2015,NY,AB 943,H,,Creates a philosophical exemption to mandatory immunizations. ,Did not pass ,No,Anti,Adds personal belief exemption,Adding exemptions or removing requirements,Andrew Cuomo,D,M,19849399,S,
99,2015,NY,SB 1536 ,S,,Creates a philosophical exemption to mandatory immunizations. ,Did not pass ,No,Anti,Adds personal belief exemption,Adding exemptions or removing requirements,Andrew Cuomo,D,M,19849399,S,
100,2015,NY,SB 4733 ,S,,Requires parents or guardians seeking a religious exemption to file an affidavit with the school signed by a physician who provided counseling about the risks of refusing to vaccinate. ,Did not pass ,No,Pro,Education by medical provider before religious exemption,Removing exemptions or adding requirements,Andrew Cuomo,D,M,19849399,S,
101,2015,OR,SB 442 ,S,,Makes retroactive the requirement for parents or guardians who decline immunization to provide a document verifying that a healthcare provider reviewed the risks and benefits of vaccination or completion of a vaccine educational module. ,Did not pass ,No,Pro,Education by medical provider before non-medical exemption. Retroactively applied. ,Removing exemptions or adding requirements,Kate Brown,D,F,4142776,D,
102,2015,TX,HB 1593 ,H,,Requires schools to inform parents of the number of unimmunized students enrolled at the school. ,Did not pass ,No,Pro,Parental notification if nonimmunized kid in school ,Parental notifications of vaccination status,Greg Abbott,R,M,28304596,R,
103,2015,TX,HB 1674 ,H,,Requires physician counseling for non-medical exemption to school immunizations. ,Did not pass ,No,Pro,Education by medical provider before non-medical exemption. ,Removing exemptions or adding requirements,Greg Abbott,R,M,28304596,R,
104,2015,TX,HB 2474 ,H,,State health department to make annual report of immunization compliance status of each school publicly available. ,Did not pass ,No,Pro,Vaccine rates in schools publically available,Parental notifications of vaccination status,Greg Abbott,R,M,28304596,R,
105,2015,UT,HB 221 ,H,,Requires parents or guardians to complete a standardized form for immunization exemptions and complete an online education module on the risks and benefits of vaccinations. ,Did not pass ,No,Pro,Online education before exemption,Removing exemptions or adding requirements,Gary Herbert,R,M,3101833,R,
106,2015,VT,H 212 ,H,,Eliminates religious exemption from mandatory vaccination. ,Did not pass ,No,Pro,Eliminates religious and philosophical exemptions,Removing exemptions or adding requirements,Peter Shumlin,D,M,623657,D,
107,2015,VT,H 266 ,H,,Requires school employees to qualify for medical exemption or provide proof of immunization. ,Did not pass ,No,Pro,Requires evidence of vaccination. No actual bill language. ,Removing exemptions or adding requirements,Peter Shumlin,D,M,623657,D,
108,2015,VT,H 98 ,H,,Eliminates the philosophical exemption. ,Passed ,Yes,Pro,Eliminates philosophical exemption,Removing exemptions or adding requirements,Peter Shumlin,D,M,623657,D,
109,2015,WA,HB 2009 ,H,,Eliminates the philosophical exemption. ,Did not pass ,No,Pro,Eliminates philosophical exemption,Removing exemptions or adding requirements,Jay Inslee,D,M,7405743,S,
110,2015,WV,SB 286,S,,Adds a religious exemption to school vaccine requirements. ,Did not pass ,No,Anti,Adds religious exemption,Adding exemptions or removing requirements,Earl Ray Tomblin,D,M,1815857,R,
111,2015,WV,HB 2556 ,H,,Adds a religious exemption to school vaccine requirements. ,Did not pass ,No,Anti,Adds religious exemption,Adding exemptions or removing requirements,Earl Ray Tomblin,D,M,1815857,R,
112,2015,WV,SB 286,S,,Authorizes Commissioner of the Bureau for Public Health to grant or deny request for medical exemptions. ,Passed ,Yes,Pro,"Allows immunization officer to make determinations regarding exemptions. NOTE: same bill as 286 that added religious exemption, just amended so that it ended up being pro rather than anti!",Shifting governing authority for exemptions,Earl Ray Tomblin,D,M,1815857,R,
113,2014,KS,KS [R] SB 67,S,Committee on Public Health and Welfare,Vaccinations; exemption based on conscience or personal belief.,Did not pass,No,Anti,Adds personal belief exemption,Adding exemptions or removing requirements,Sam Brownback,R,M,2913123,R,
114,2013,AZ,HB 2505,H,,Posting exemption rates online,Not passed,No,Pro,Exemption rates publically available on website for school,"Data collection, reporting, or clarification",Jan Brewer,R,F,7016270,R,
115,2013,KS,SB 67,S,,Personal belief exemption,Not passed,No,Anti,Adds personal belief exemption,Adding exemptions or removing requirements,Sam Brownback,R,M,2913123,R,
116,2013,ME,LD 672,S,,School health provider to give parents info on risks and benefits,Not passed,No,Pro,Education by school health provider on benefits and risks of imunnization before exemption,Removing exemptions or adding requirements,Paul LePage,R,M,1332907,D,Note: passed both house and senate but not signed into law 
122,2012,NJ,ACR 120,H,,Department of Health and Senior Services regulations not consistent with legislative intent,Not passed,No,Pro,Concurring resolution that the Department of Health regs allow more religious exemptions than statute intended,Other,Chris Christie,R,M,9005644,D,
125,2012,NJ,S 1759,S,,Clarifies statutory exemptions (medical and religious),Not passed,No,Pro,Requires documentation to get religious exemption,Removing exemptions or adding requirements,Chris Christie,R,M,9005644,D,
126,2013,NY,AB 2689,H,,Modifies religious exemption,Not passed,No,Anti,Does not allow inquiries into how seriously religious beliefs are held for exemption,Adding exemptions or removing requirements,Andrew Cuomo,D,M,19849399,D,
127,2013,NY,AB 6359,H,,Philosophical exemption,Not passed,No,Anti,Adds personal belief exemption,Adding exemptions or removing requirements,Andrew Cuomo,D,M,19849399,D,
128,2013,NY,SB 3934,S,,Philosophical exemption,Not passed,No,Anti,Adds personal belief,Adding exemptions or removing requirements,Andrew Cuomo,D,M,19849399,D,
130,2013,OR,SB 132,S,,Changes documentation to be submitted to schools,Passed,Yes,Pro,Requires education and additional documentation before religious/philosophical exemption,Removing exemptions or adding requirements,John Kitzhaber,D,M,4142776,D,
131,2013,SD,SB 98,S,,Modifies religious exemption,Not passed,No,Anti,Loosens definition of religious exemption,Adding exemptions or removing requirements,Dennis Daugaard,R,M,869666,R,
133,2013,VT,HB 114,H,,"Pertussis, removes exemptions",Not passed,No,Pro,Removes non-medical exemptions for pertussis,Removing exemptions or adding requirements,Peter Shumlin,D,M,623657,D,
134,2013,VT,HB 138,H,,Suspend exemptions if vaccination rates fall below 90%,Not passed,No,Pro,Suspend exemptions if vaccination rate falls below 90%,Parental notifications of vaccination status,Peter Shumlin,D,M,623657,D,
135,2013,VT,SB 102,S,,Suspend exemptions if vaccination rates fall below 90%,Not passed,No,Pro,Suspend exemptions if vaccination rate falls below 90%,Parental notifications of vaccination status,Peter Shumlin,D,M,623657,D,
136,2013,VT,SB 103,S,,"Pertussis, removes exemptions",Not passed,No,Pro,Removes non-medical exemptions for pertussis,Removing exemptions or adding requirements,Peter Shumlin,D,M,623657,D,
137,2013,WV,HB 2306,H,,Legislature has sole authority concerning compulsory immunizations,Not passed,No,Anti,Limits authority on immunizations to legislature,Shifting governing authority for exemptions,Earl Ray Tomblin,D,M,1815857,D,
138,2013,WV,HB 3113,H,,"Medical exemptions, establish process",Not passed,No,Anti,Appeal process if medical exemption not granted,Other,Earl Ray Tomblin,D,M,1815857,D,
139,2012,AZ,HB 2846,H,,Allows for exemption with written certification 1) from health professional that required vaccination is not advisable; or signed by parent or guardian stating 2) that signatory̥s religious beliefs are contrary or 3) that signatory has a personal objection. ,not passed,No,Pro,Requires education and additional documentation before religious/philosophical exemption,Removing exemptions or adding requirements,Jan Brewer,R,F,7016270,R,
140,2012,CA,AB 2109,H,,Adds to the requirement for exemptions for personal beliefs that the parent or guardian provide 1) a written statement signed by a health care practitioner that he/she provided information regarding the benefits and risks of the immunization and the health risks of the communicable diseases and 2) a written statement signed by the parent or guardian that he/she has received the information provided by the health care practitioner. ,Passed,Yes,Pro,Requires education and additional documentation before religious/philosophical exemption,Removing exemptions or adding requirements,Jerry Brown,D,M,39536653,D,
142,2012,MA,H 1055,H,,Adds language that an unvaccinated child shall be admitted to school upon written request of a parent.,not passed,No,Anti,Child can be admitted to school upon request of parent,Adding exemptions or removing requirements,Deval Patrick,D,M,6859819,D,
143,2012,MN,HF 1897,H,,Eliminates requirement that exemption be notarized (must be signed and dated).,not passed,No,Anti,Removes notarization requirement,Adding exemptions or removing requirements,Mark Dayton,D,M,5576606,R,
144,2012,MS,HB 101,H,,Provides that a local health officer may grant a certificate of exemption from immunization if the parent or guardian firmly holds a bona fide belief that a vaccine or immunization is inappropriate for the child. Provides criteria to use in determining whether the parent or guardian of a child firmly holds a bona fide belief. ,not passed,No,Anti,Adds personal belief exemption,Adding exemptions or removing requirements,Phil Bryant,R,M,2984100,R,
145,2012,MS,SB 2007,S,,Refines language for medical exemptions and exclusion from school.,not passed,No,Anti,"Adds physician to exempt for medical reasons, rather than health officials",Adding exemptions or removing requirements,Phil Bryant,R,M,2984100,R,
146,2012,NJ,AB 1368,H,,Provides for conscientious exemption to mandatory immunizations.,not passed,No,Anti,Adds personal belief exemption ,Adding exemptions or removing requirements,Chris Christie,R,M,9005644,D,
147,2012,NJ,AB 176,H,,Permits exemption from mandatory immunization for students in writing for any reason.,not passed,No,Anti,Allows for exemption for any reason ,Adding exemptions or removing requirements,Chris Christie,R,M,9005644,D,
148,2012,NJ,AB 1829,H,,Clarifies statutory exemptions from mandatory immunizations for students.,not passed,No,Neutral,Clarifies that there are only medical and religious exemptions,"Data collection, reporting, or clarification",Chris Christie,R,M,9005644,D,
149,2012,NJ,AB 509,H,,Provides for philosophical exemption to mandatory immunizations.,not passed,No,Anti,Adds personal belief exemption,Adding exemptions or removing requirements,Chris Christie,R,M,9005644,D,
150,2012,NJ,AB 920,H,,Exempts child under age six from hepatitis B vaccine requirement if child's mother tested negative for hepatitis B during her pregnancy.,not passed,No,Anti,"Removes Hep B requirement under age 6 if mother negative during pregnancy. After age 6 physician exemption Cites ASD in bill. Was also introduced in 2015, 2016. ",Adding exemptions or removing requirements,Chris Christie,R,M,9005644,D,
151,2012,NJ,SB 106,S,,Provides for conscientious exemption to mandatory immunizations.,not passed,No,Anti,Adds conscientious belief exemption,Adding exemptions or removing requirements,Chris Christie,R,M,9005644,D,
152,2012,NY,S 1331,S,,Adds exemption based on personal objections of a philosophicnature.,not passed,No,Anti,Adds personal belief exemption,Adding exemptions or removing requirements,Andrew Cuomo,D,M,19849399,S,
153,2012,SD,HB 1175,H,,Provides for exemptions with a written statement stating the parent/guardian prefers to practice holistic health care or refuses to abrogate his or her autonomous parental rights.,not passed ,No,Anti,Adds exemption for holistic health care or because parents do not want to abrogate rights ,Adding exemptions or removing requirements,Dennis Daugaard,R,M,869666,R,
154,2012,SD,HB 1259,H,,INCORRECT SUMMARY (adds personal belief exemption) Provides for exemptions with a written statement stating the parent/guardian prefers to practice holistic health care or holds personal beliefs that are opposed to such immunizations.,not passed,No,Anti,Adds personal belief exemption,Adding exemptions or removing requirements,Dennis Daugaard,R,M,869666,R,
155,2012,VT,H 527,H,,Removes the exemption from immunization due to philosophical convictions.,not passed,No,Pro,Eliminates philosophical exemption,Removing exemptions or adding requirements,Peter Shumlin,D,M,623657,D,
156,2012,VT,SB 199,S,,"As passed, requires schools and child care centers to make publicly available aggregated immunization rates; requires the health department to annually collect from schools the immunization rates for at least first and eighth grade students for each required vaccine; alters the provisional admittance and exemption requirements; extends the immunization pilot program (to ensure universal access to vaccines for all Vermonters at no charge).",passed,Yes,Pro,Requires education and additional documentation before religious/philosophical exemption also increased data collection,Removing exemptions or adding requirements,Peter Shumlin,D,M,623657,D,
157,2012,WV,HB 3189,H,,Amends current code; clarifies that the Legislature has sole authority in regards to matters concerning compulsory immunizations.,not passed,No,Anti,Authority over immunizations with the legislature,Shifting governing authority for exemptions,Earl Ray Tomblin,D,M,1815857,D,
158,2012,WV,HB 4411,H,,"Adds exemptions for religious, conscientious or philosophical beliefs with a signed, notarized form. ",not passed,No,Anti,"Adds religious, conscientious and philosophical exemptions",Adding exemptions or removing requirements,Earl Ray Tomblin,D,M,1815857,D,
159,2012,WV,SB 50,S,,"Adds exemptions for religious, conscientious or philosophical beliefs with a signed, notarized form. ",not passed,No,Anti,"Adds religious, conscientious and philosophical exemptions",Adding exemptions or removing requirements,Earl Ray Tomblin,D,M,1815857,D,
161,2011,IA,SF 370^,S,,Exemptions - with submission of affadavit,Not passed,No,Anti,Allows exemption for any reason,Adding exemptions or removing requirements,Terry Branstad,R,M,3145711,S,
162,2011,KS,HB 2094^,H,,Exemptions - conscience or personal belief exemptions for child care facilities,Not passed,No,Anti,Adds personal belief exemption,Adding exemptions or removing requirements,Sam Brownback,R,M,2913123,R,
163,2011,MT,HB 227*,H,,Exemptions - religious exemptions,Not passed,No,Anti,"Expands religious exemption to daycare, eliminates affidavit requirement",Adding exemptions or removing requirements,Brian Schweitzer,D,M,1050493,R,
164,2011,NH,HB 416^,H,,Exemptions - conscientious belief exemptions,Not passed,No,Anti,Adds conscientious objection exemption,Adding exemptions or removing requirements,John Lynch,D,M,1342795,R,
165,2011,NJ,AB 243,H,,Exemptions - conscientious belief exemptions,Not passed,No,Anti,Adds conscientious belief exemption,Adding exemptions or removing requirements,Chris Christie,R,M,9005644,D,
166,2011,NJ,AB 3836,H,,Exemptions - exemptions from mandatory immunizations for students,Not passed,No,Neutral,Clarifies requirements to obtain exemption,"Data collection, reporting, or clarification",Chris Christie,R,M,9005644,D,
167,2011,NJ,SB 2625,S,,Exemptions - exemptions from mandatory immunizations for students,Not passed,No,Neutral,Clarifies requirements to obtain exemption,"Data collection, reporting, or clarification",Chris Christie,R,M,9005644,D,
168,2011,NY,AB 592^,H,,Exemptions - religious exemptions,Not passed,No,Anti,If affidavit provided for religious exemption no further evidence can be required,Adding exemptions or removing requirements,Andrew Cuomo,D,M,19849399,S,
169,2011,NY,AB 593^,H,,Exemptions - medical exemptions,Not passed,No,Anti,Physician certification for medical exemption is paramount,Shifting governing authority for exemptions,Andrew Cuomo,D,M,19849399,S,
171,2011,NY,SB 1331^,S,,Exemptions - philosophical exemptions,Not passed,No,Anti,Adds a personal belief exemption,Adding exemptions or removing requirements,Andrew Cuomo,D,M,19849399,S,
172,2011,WA,HB 1015,H,,Exemptions - signed by health care practitioner,Not Passed,No,Neutral,"Any health care practitioner can sign off on exemption, not just physician",Shifting governing authority for exemptions,Christine Gregoire,D,F,7405743,D,
173,2011,WA,SB 5005,S,,Exemptions - signed by health care practitioner,Passed,Yes,Neutral,"Any health care practitioner can sign off on exemption, not just physician",Shifting governing authority for exemptions,Christine Gregoire,D,F,7405743,D,
174,2011,WV,HB 2998^,H,,Exemptions - medical & nonmedical (conscientious or religious belief),Not passed,No,Anti,Add non medical exemptions,Adding exemptions or removing requirements,Earl Ray Tomblin,D,M,1815857,D,
175,2011,WV,SB 522^,S,,"Exemptions - written statement for religious, philosophical or conscientious beliefs",Not passed,No,Anti,Add non medical exemptions,Adding exemptions or removing requirements,Earl Ray Tomblin,D,M,1815857,D,
